stop_id,stop_name,stop_lon,stop_lat
istb.184858,ŞAHİNBEY,29.192,41.02166
istb.184860,ATATÜRK CAD.,29.19482,41.02413
istb.184862,ÖĞRETMENLER SİTESİ,29.19327,41.02554
istb.184865,GÜVEN SİTESİ,29.19007,41.02811
istb.184874,Ş.ŞAHİNBEY,29.18794,41.02886
istb.184864,GÜVEN SİTESİ,29.19004,41.02804
istb.184863,ÖĞRETMENLER SİTESİ,29.1932,41.02551
istb.184861,ATATÜRK CAD.,29.19466,41.02391
istb.184859,ŞAHİNBEY,29.19201,41.02164
istb.184857,HAMİDİYE,29.18829,41.02141
istb.185502,KARDELEN,29.1849,41.023
istb.184855,YOLAĞZI,29.18322,41.02444
istb.191982,DEREYOLU,29.18138,41.02562
istb.191980,TEPE,29.1825,41.02859
istb.191977,REFAH CAMİİ,29.18389,41.03087
istb.191539,ÖZDİL SOKAK,29.18082,41.03201
istb.191975,SİTELER,29.17749,41.03263
istb.191918,MİMAR SİNAN CD.,29.17324,41.03217
istb.187158,KÜLTÜR SOKAK,29.17262,41.03103
istb.191916,ACAR SOKAK,29.17082,41.02807
istb.191914,ULUS CAD.,29.1692,41.02452
istb.191910,ÇEKMEKÖY YOLU,29.16807,41.02222
istb.191193,ÇEKMEKÖY SAPAĞI,29.16784,41.01983
istb.191189,DUDULLU,29.16068,41.01634
istb.185999,OSMANGAZİ,29.15712,41.01687
istb.191187,ÜMR. İMAM HATİP LİS.,29.15383,41.01645
istb.191185,ÇAYIRÖNÜ,29.14986,41.016
istb.186790,IHLAMUR EVLERİ,29.1453,41.01629
istb.191183,ALTINŞEHİR MAH.,29.14305,41.01642
istb.191191,ÇEKMEKÖY SAPAĞI,29.1699,41.01816
istb.191194,MUSTAFA VASIF İ.Ö.O,29.17386,41.0177
istb.191196,KEMERDERE,29.17668,41.01711
istb.191198,K.DERE KÖP. KAVŞAK,29.17999,41.01594
istb.186331,KAYMAKAMLIK,29.19091,41.01639
istb.186335,PAZARYERİ,29.19234,41.01958
istb.185976,ERCİYES SOKAK,29.19282,41.021
istb.184872,Ş.ŞAHİNBEY,29.18769,41.02844
istb.185975,ERCİYES SOKAK,29.19282,41.021
istb.186336,PAZARYERİ,29.19215,41.01946
istb.186332,KAYMAKAMLIK,29.1902,41.0162
istb.191199,K.DERE KÖP.KAVŞAK,29.17933,41.01629
istb.191197,KEMERDERE,29.17595,41.01749
istb.191195,MUSTAFA VASIF İ.Ö.O,29.17373,41.01787
istb.191190,ÇEKMEKÖY SAPAĞI,29.16922,41.01844
istb.191299,NİŞANTEPE 3,29.26683,41.04384
istb.184892,NİŞANTEPE 2,29.2635,41.04411
istb.184890,NİŞANTEPE İ.Ö.OKL.,29.26174,41.04438
istb.184888,NİŞANTEPE 1,29.25695,41.04421
